11.619,1,532.1200,0.38983
16.619,2,533.2800,0.39068
21.619,3,533.9200,0.39115
26.619,4,533.8000,0.39106
31.619,5,535.4000,0.39223
36.619,6,535.9000,0.39260
41.619,7,535.8000,0.39253
46.619,8,536.8200,0.39327
51.619,9,536.6400,0.39314
56.619,10,538.2400,0.39432
61.619,11,538.8200,0.39474
66.619,12,539.5600,0.39528
71.619,13,539.2800,0.39508
76.619,14,539.7000,0.39538
81.619,15,539.4000,0.39516
86.619,16,539.0200,0.39489
91.619,17,539.5000,0.39524
96.619,18,539.7000,0.39538
101.619,19,540.4800,0.39596
106.619,20,541.2200,0.39650
111.619,21,540.5200,0.39599
116.619,22,540.4200,0.39591
121.619,23,541.2000,0.39648
126.619,24,541.9200,0.39701
131.619,25,541.9200,0.39701
136.619,26,541.7200,0.39686
141.619,27,541.5000,0.39670
146.619,28,540.2800,0.39581
151.619,29,541.5400,0.39673
156.619,30,541.1800,0.39647
161.619,31,540.7600,0.39616
166.619,32,541.1800,0.39647
171.619,33,540.2600,0.39579
176.619,34,540.5800,0.39603
181.619,35,541.7600,0.39689
186.619,36,540.6800,0.39610
191.619,37,541.8600,0.39697
196.619,38,541.0400,0.39637
201.619,39,541.9000,0.39700
206.619,40,541.3200,0.39657
211.619,41,541.0000,0.39634
216.619,42,541.5200,0.39672
221.619,43,542.3400,0.39732
226.619,44,541.9800,0.39705
231.619,45,541.6800,0.39684
236.619,46,541.8600,0.39697
241.619,47,541.2400,0.39651
246.619,48,540.8400,0.39622
251.619,49,540.4600,0.39594
256.619,50,539.5400,0.39527
261.619,51,539.4400,0.39519
266.619,52,540.4000,0.39590
271.619,53,539.7000,0.39538
276.619,54,539.7800,0.39544
281.619,55,539.1800,0.39500
286.619,56,540.0800,0.39566
291.619,57,539.4400,0.39519
296.619,58,539.8200,0.39547
301.619,59,539.7200,0.39540
306.619,60,540.1000,0.39568
311.619,61,539.2800,0.39508
316.619,62,539.1400,0.39497
321.619,63,540.7800,0.39618
326.619,64,541.3000,0.39656
331.619,65,540.9600,0.39631
336.619,66,541.6400,0.39681
341.619,67,540.9600,0.39631
346.619,68,541.4200,0.39664
351.619,69,540.9600,0.39631
356.619,70,540.8000,0.39619
361.619,71,541.0400,0.39637
366.619,72,541.5400,0.39673
371.619,73,540.7600,0.39616
376.619,74,542.0600,0.39711
381.619,75,540.5200,0.39599
386.619,76,540.7800,0.39618
391.619,77,539.9800,0.39559
396.619,78,540.5600,0.39601
401.619,79,540.9400,0.39629
406.619,80,541.0600,0.39638
411.619,81,541.4800,0.39669
416.619,82,540.3600,0.39587
421.619,83,541.2200,0.39650
426.619,84,540.3200,0.39584
431.619,85,540.8600,0.39623
436.619,86,540.7800,0.39618
441.619,87,540.7000,0.39612
446.619,88,540.2000,0.39575
451.619,89,541.1000,0.39641
456.619,90,541.1400,0.39644
461.619,91,540.8000,0.39619
466.619,92,541.4000,0.39663
471.619,93,541.1600,0.39645
476.619,94,540.9800,0.39632
481.619,95,541.5800,0.39676
486.619,96,539.8800,0.39552
491.619,97,540.0800,0.39566
496.619,98,540.5200,0.39599
501.619,99,540.2000,0.39575
506.619,100,540.5200,0.39599
511.619,101,541.1200,0.39642
516.619,102,540.0800,0.39566
521.619,103,540.7600,0.39616
526.619,104,540.3600,0.39587
531.619,105,539.3600,0.39514
536.619,106,538.6600,0.39462
541.619,107,540.7800,0.39618
546.619,108,539.8400,0.39549
551.619,109,540.4400,0.39593
556.619,110,540.4800,0.39596
561.619,111,540.6600,0.39609
566.619,112,540.5200,0.39599
571.619,113,541.0200,0.39635
576.619,114,540.0400,0.39563
581.619,115,540.8200,0.39621
586.619,116,541.0400,0.39637
591.619,117,540.6000,0.39604
596.619,118,541.3000,0.39656
601.619,119,541.2200,0.39650
606.619,120,541.5000,0.39670
611.619,121,541.4400,0.39666
616.619,122,540.7400,0.39615
621.619,123,541.7800,0.39691
626.619,124,541.5000,0.39670
631.619,125,540.8600,0.39623
636.619,126,540.3200,0.39584
641.619,127,540.1000,0.39568
646.619,128,540.4200,0.39591
651.619,129,540.8400,0.39622
656.619,130,540.7800,0.39618
661.619,131,539.9200,0.39555
666.619,132,540.4800,0.39596
671.619,133,540.9600,0.39631
676.619,134,540.3200,0.39584
681.619,135,540.8400,0.39622
686.619,136,540.3000,0.39582
691.619,137,540.1800,0.39574
696.619,138,540.0200,0.39562
701.619,139,540.2400,0.39578
706.619,140,539.2200,0.39503
711.619,141,539.0000,0.39487
716.619,142,539.5800,0.39530
721.619,143,539.6400,0.39534
726.619,144,539.7000,0.39538
731.619,145,540.0800,0.39566
736.619,146,539.3600,0.39514
741.619,147,539.5000,0.39524
746.619,148,539.0400,0.39490

